City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
Atuona,0,PF,2018-10-22 00:06:31,100,-9.8,-139.03,80.42,80.42,13.22
Turukhansk,88,RU,2018-10-22 00:18:54,93,65.8,87.96,32.41,32.41,12.44
Mataura,0,NZ,2018-10-22 00:18:54,87,-46.19,168.86,66.38,66.38,4.38
Ivanteyevka,90,RU,2018-10-21 23:30:00,81,55.97,37.92,42.8,41.0,6.71
Geraldton,90,CA,2018-10-22 00:00:00,86,49.72,-86.95,30.2,30.2,3.36
Punta Arenas,0,CL,2018-10-21 23:00:00,70,-53.16,-70.91,42.8,42.8,8.05
Moree,0,AU,2018-10-22 00:18:55,85,-29.46,149.84,73.63,73.63,8.19
Port Hedland,36,AU,2018-10-22 00:00:00,35,-20.31,118.58,86.0,86.0,1.12
New Norfolk,75,AU,2018-10-22 00:00:00,55,-42.78,147.06,64.4,64.4,10.29
Tasiilaq,68,GL,2018-10-21 23:50:00,49,65.61,-37.64,23.0,23.0,13.87
Batticaloa,68,LK,2018-10-22 00:18:56,100,7.71,81.69,74.89,74.89,6.96
Saskylakh,44,RU,2018-10-22 00:18:57,81,71.97,114.09,10.09,10.09,8.19
Provideniya,75,RU,2018-10-21 23:30:00,80,64.42,-173.23,39.2,39.2,17.9
Derzhavinsk,0,KZ,2018-10-22 00:18:57,79,51.1,66.31,25.39,25.39,4.94
Tuktoyaktuk,90,CA,2018-10-22 00:00:00,92,69.44,-133.03,21.2,21.2,14.99
Katobu,0,ID,2018-10-22 00:18:58,91,-4.94,122.53,83.57,83.57,2.37
Albany,90,US,2018-10-21 23:54:00,51,42.65,-73.75,39.2,35.6,11.41
Saint-Philippe,75,CA,2018-10-22 00:00:00,51,45.36,-73.48,37.4,32.0,12.75
Fort Nelson,75,CA,2018-10-22 00:00:00,42,58.81,-122.69,48.2,48.2,2.24
Nouadhibou,92,MR,2018-10-22 00:00:00,69,20.93,-17.03,73.4,73.4,13.87
Pozo Colorado,0,PY,2018-10-22 00:18:59,50,-23.49,-58.8,83.53,83.53,9.98
Atambua,8,ID,2018-10-22 00:18:59,87,-9.11,124.89,82.09,82.09,3.83
Mujiayingzi,0,CN,2018-10-22 00:18:59,82,42.12,118.78,41.36,41.36,4.5
Petropavlovsk-Kamchatskiy,12,RU,2018-10-21 23:30:00,64,53.05,158.65,37.4,37.4,6.71
Usinsk,92,RU,2018-10-22 00:19:00,93,66.0,57.56,19.67,19.67,13.67
Miraflores,80,CO,2018-10-22 00:19:00,95,5.2,-73.14,55.54,55.54,1.25
Clyde River,90,CA,2018-10-22 00:00:00,85,70.47,-68.59,12.2,12.2,14.99
Lincoln,1,US,2018-10-21 23:54:00,51,40.8,-96.67,68.0,60.8,9.17
Kodiak,1,US,2018-10-21 22:53:00,42,39.95,-94.76,64.4,64.4,8.05
Port Lincoln,12,AU,2018-10-22 00:19:01,85,-34.72,135.86,64.31,64.31,8.41
Katsuura,75,JP,2018-10-21 23:00:00,82,33.93,134.5,59.0,59.0,4.7
Vaini,64,IN,2018-10-22 00:19:02,68,15.34,74.49,72.05,72.05,4.38
Butaritari,24,KI,2018-10-22 00:19:02,100,3.07,172.79,84.56,84.56,7.18
Srednekolymsk,0,RU,2018-10-22 00:19:02,78,67.46,153.71,2.26,2.26,2.48
Ushuaia,20,AR,2018-10-21 23:00:00,52,-54.81,-68.31,42.8,42.8,23.04
Bima,0,ID,2018-10-22 00:19:03,97,-8.45,118.73,77.9,77.9,2.82
Junction City,1,US,2018-10-21 22:56:00,40,39.03,-96.83,68.0,66.2,11.41
Bluff,0,AU,2018-10-22 00:19:03,62,-23.58,149.07,79.93,79.93,9.08
Hobart,75,AU,2018-10-22 00:00:00,55,-42.88,147.33,64.4,64.4,10.29
Bani,0,PH,2018-10-22 00:19:04,89,15.89,120.27,80.6,80.6,3.38
Qaanaaq,20,GL,2018-10-22 00:19:04,100,77.48,-69.36,5.23,5.23,11.54
Gloucester,0,GB,2018-10-21 23:50:00,71,51.87,-2.25,50.0,48.2,14.99
Nishihara,1,JP,2018-10-21 23:56:00,55,35.74,139.53,62.6,59.0,4.5
May Pen,20,JM,2018-10-21 23:00:00,70,17.97,-77.26,86.0,86.0,8.05
Auki,0,NG,2018-10-22 00:19:05,54,12.18,6.51,65.3,65.3,3.49
Namibe,32,AO,2018-10-22 00:19:05,100,-15.19,12.15,71.06,71.06,7.74
Opuwo,12,NA,2018-10-22 00:19:05,59,-18.06,13.84,61.03,61.03,3.15
Calatayud,0,ES,2018-10-22 00:00:00,93,41.35,-1.64,60.8,59.0,3.36
Walvis Bay,100,NA,2018-10-21 23:00:00,82,-22.95,14.51,59.0,59.0,3.36
Norman Wells,75,CA,2018-10-22 00:00:00,74,65.28,-126.83,35.6,35.6,4.16
East London,68,ZA,2018-10-22 00:19:09,100,-33.02,27.91,63.64,63.64,17.13
Saint-Pierre,0,FR,2018-10-22 00:00:00,81,48.95,4.24,44.6,41.0,8.05
